Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Have you ever vaped?,Do you have any form of social media?,Approximately how much time do you spend on social media per day?
11315458653,252912708,02/01/2020 04:01:13 AM,02/01/2020 04:01:30 AM,,,,,,No,Yes,4 hours or more
11315445532,252912708,02/01/2020 03:49:27 AM,02/01/2020 03:49:42 AM,,,,,,No,Yes,2 hours
11315439507,252912708,02/01/2020 03:43:56 AM,02/01/2020 03:44:07 AM,,,,,,No,Yes,2 hours
11315438261,252912708,02/01/2020 03:42:43 AM,02/01/2020 03:42:57 AM,,,,,,No,Yes,4 hours or more
11315410310,252912708,02/01/2020 03:17:11 AM,02/01/2020 03:17:25 AM,,,,,,No,Yes,3 hours
11315368276,252912708,02/01/2020 02:37:32 AM,02/01/2020 02:37:54 AM,,,,,,No,Yes,2 hours
11315329246,252912708,02/01/2020 01:58:07 AM,02/01/2020 01:58:27 AM,,,,,,No,Yes,4 hours or more
11315328712,252912708,02/01/2020 01:57:39 AM,02/01/2020 01:57:51 AM,,,,,,Yes,Yes,4 hours or more
11315289985,252912708,02/01/2020 01:16:53 AM,02/01/2020 01:17:12 AM,,,,,,No,Yes,3 hours
11315245506,252912708,02/01/2020 12:29:31 AM,02/01/2020 12:30:15 AM,,,,,,No,Yes,2 hours
11315245365,252912708,02/01/2020 12:29:45 AM,02/01/2020 12:30:06 AM,,,,,,No,Yes,1 hour
11315230116,252912708,02/01/2020 12:14:00 AM,02/01/2020 12:14:09 AM,,,,,,Yes,Yes,1 hour
11315222988,252912708,02/01/2020 12:06:27 AM,02/01/2020 12:06:46 AM,,,,,,No,Yes,4 hours or more
11315207245,252912708,01/31/2020 11:48:35 PM,01/31/2020 11:48:54 PM,,,,,,Yes,Yes,3 hours
11315202022,252912708,01/31/2020 11:42:25 PM,01/31/2020 11:42:46 PM,,,,,,No,Yes,4 hours or more
11315194458,252912708,01/31/2020 11:33:56 PM,01/31/2020 11:34:16 PM,,,,,,No,Yes,4 hours or more
11315178131,252912708,01/31/2020 11:14:49 PM,01/31/2020 11:15:21 PM,,,,,,Yes,Yes,2 hours
11315159949,252912708,01/31/2020 10:53:58 PM,01/31/2020 10:54:29 PM,,,,,,No,Yes,4 hours or more
11315139721,252912708,01/31/2020 10:30:28 PM,01/31/2020 10:30:56 PM,,,,,,No,Yes,4 hours or more
11315127275,252912708,01/31/2020 10:15:28 PM,01/31/2020 10:16:01 PM,,,,,,No,Yes,4 hours or more
11315117383,252912708,01/31/2020 10:03:33 PM,01/31/2020 10:03:45 PM,,,,,,No,Yes,4 hours or more
11315108264,252912708,01/31/2020 09:51:48 PM,01/31/2020 09:52:03 PM,,,,,,No,Yes,4 hours or more
11315103706,252912708,01/31/2020 09:46:14 PM,01/31/2020 09:46:25 PM,,,,,,No,Yes,2 hours
11315096634,252912708,01/31/2020 09:36:58 PM,01/31/2020 09:37:52 PM,,,,,,No,Yes,3 hours
11315089074,252912708,01/31/2020 09:28:27 PM,01/31/2020 09:28:49 PM,,,,,,No,Yes,3 hours
11315080880,252912708,01/31/2020 09:18:39 PM,01/31/2020 09:18:49 PM,,,,,,Yes,Yes,1 hour
11315075295,252912708,01/31/2020 09:11:34 PM,01/31/2020 09:11:46 PM,,,,,,Yes,Yes,4 hours or more
11315072210,252912708,01/31/2020 09:07:31 PM,01/31/2020 09:07:47 PM,,,,,,Yes,Yes,4 hours or more
11315066708,252912708,01/31/2020 09:00:10 PM,01/31/2020 09:00:24 PM,,,,,,No,Yes,2 hours
11315066155,252912708,01/31/2020 08:59:21 PM,01/31/2020 08:59:39 PM,,,,,,No,Yes,30 minutes or less
11315063276,252912708,01/31/2020 08:55:07 PM,01/31/2020 08:55:26 PM,,,,,,No,Yes,3 hours
11315059537,252912708,01/31/2020 08:49:38 PM,01/31/2020 08:49:57 PM,,,,,,No,Yes,4 hours or more
11315055731,252912708,01/31/2020 08:43:54 PM,01/31/2020 08:44:07 PM,,,,,,No,Yes,3 hours
11315054274,252912708,01/31/2020 08:41:53 PM,01/31/2020 08:42:06 PM,,,,,,No,Yes,2 hours
11315053870,252912708,01/31/2020 08:41:17 PM,01/31/2020 08:41:30 PM,,,,,,Yes,Yes,4 hours or more
11315051395,252912708,01/31/2020 08:37:41 PM,01/31/2020 08:37:55 PM,,,,,,No,Yes,2 hours
11315046949,252912708,01/31/2020 08:31:13 PM,01/31/2020 08:31:35 PM,,,,,,No,Yes,2 hours
11315043816,252912708,01/31/2020 08:26:48 PM,01/31/2020 08:27:03 PM,,,,,,No,Yes,3 hours
11315038314,252912708,01/31/2020 08:18:45 PM,01/31/2020 08:19:10 PM,,,,,,No,Yes,4 hours or more
11315037287,252912708,01/31/2020 08:17:18 PM,01/31/2020 08:17:42 PM,,,,,,No,Yes,4 hours or more
11315036837,252912708,01/31/2020 08:16:57 PM,01/31/2020 08:17:06 PM,,,,,,No,Yes,4 hours or more
11315036817,252912708,01/31/2020 08:16:48 PM,01/31/2020 08:17:04 PM,,,,,,Yes,Yes,3 hours
11315032344,252912708,01/31/2020 08:10:41 PM,01/31/2020 08:11:00 PM,,,,,,No,Yes,4 hours or more
11315031674,252912708,01/31/2020 08:09:39 PM,01/31/2020 08:10:07 PM,,,,,,No,Yes,4 hours or more
11315030515,252912708,01/31/2020 08:07:59 PM,01/31/2020 08:08:25 PM,,,,,,No,Yes,1 hour
11315030144,252912708,01/31/2020 08:07:10 PM,01/31/2020 08:07:52 PM,,,,,,No,Yes,1 hour
11315029073,252912708,01/31/2020 08:05:46 PM,01/31/2020 08:06:16 PM,,,,,,No,Yes,3 hours
11315024960,252912708,01/31/2020 08:00:04 PM,01/31/2020 08:00:33 PM,,,,,,No,Yes,1 hour
11315019300,252912708,01/31/2020 07:52:29 PM,01/31/2020 07:52:44 PM,,,,,,Yes,Yes,4 hours or more
11315015197,252912708,01/31/2020 07:47:07 PM,01/31/2020 07:47:18 PM,,,,,,No,Yes,3 hours
11315015141,252912708,01/31/2020 07:46:56 PM,01/31/2020 07:47:14 PM,,,,,,No,Yes,4 hours or more
11315014817,252912708,01/31/2020 07:46:38 PM,01/31/2020 07:46:49 PM,,,,,,No,Yes,4 hours or more
11315012711,252912708,01/31/2020 07:43:45 PM,01/31/2020 07:43:57 PM,,,,,,Yes,Yes,4 hours or more
11315012682,252912708,01/31/2020 07:43:46 PM,01/31/2020 07:43:56 PM,,,,,,Yes,Yes,4 hours or more
11315011477,252912708,01/31/2020 07:42:06 PM,01/31/2020 07:42:18 PM,,,,,,No,Yes,4 hours or more
11315008730,252912708,01/31/2020 07:38:25 PM,01/31/2020 07:38:41 PM,,,,,,No,Yes,4 hours or more
11315006385,252912708,01/31/2020 07:35:09 PM,01/31/2020 07:35:26 PM,,,,,,No,Yes,2 hours
11315006352,252912708,01/31/2020 07:35:14 PM,01/31/2020 07:35:24 PM,,,,,,No,Yes,4 hours or more
11315006293,252912708,01/31/2020 07:35:04 PM,01/31/2020 07:35:20 PM,,,,,,No,Yes,4 hours or more
11315003515,252912708,01/31/2020 07:30:57 PM,01/31/2020 07:31:32 PM,,,,,,No,Yes,4 hours or more
11315003497,252912708,01/31/2020 07:31:05 PM,01/31/2020 07:31:31 PM,,,,,,No,Yes,4 hours or more
11315002746,252912708,01/31/2020 07:30:19 PM,01/31/2020 07:30:34 PM,,,,,,No,Yes,3 hours
11315001206,252912708,01/31/2020 07:28:23 PM,01/31/2020 07:28:35 PM,,,,,,No,Yes,3 hours
11315000469,252912708,01/31/2020 07:27:26 PM,01/31/2020 07:27:38 PM,,,,,,No,Yes,4 hours or more
11314999794,252912708,01/31/2020 07:26:27 PM,01/31/2020 07:26:41 PM,,,,,,Yes,Yes,1 hour
11314998762,252912708,01/31/2020 07:24:56 PM,01/31/2020 07:25:15 PM,,,,,,No,Yes,2 hours
11314997705,252912708,01/31/2020 07:23:33 PM,01/31/2020 07:23:54 PM,,,,,,No,Yes,4 hours or more
11314997447,252912708,01/31/2020 07:22:54 PM,01/31/2020 07:23:35 PM,,,,,,No,Yes,4 hours or more
11314996898,252912708,01/31/2020 07:22:35 PM,01/31/2020 07:22:52 PM,,,,,,No,Yes,4 hours or more
11314996544,252912708,01/31/2020 07:22:04 PM,01/31/2020 07:22:23 PM,,,,,,No,Yes,4 hours or more
11314996207,252912708,01/31/2020 07:21:43 PM,01/31/2020 07:21:58 PM,,,,,,Yes,Yes,3 hours
11314995660,252912708,01/31/2020 07:21:13 PM,01/31/2020 07:21:22 PM,,,,,,No,Yes,4 hours or more
11314995530,252912708,01/31/2020 07:21:01 PM,01/31/2020 07:21:13 PM,,,,,,No,,3 hours
11314994741,252912708,01/31/2020 07:19:58 PM,01/31/2020 07:20:21 PM,,,,,,No,Yes,3 hours
11314994678,252912708,01/31/2020 07:20:01 PM,01/31/2020 07:20:17 PM,,,,,,No,Yes,4 hours or more
11314991592,252912708,01/31/2020 07:15:58 PM,01/31/2020 07:16:16 PM,,,,,,Yes,Yes,3 hours
11314991188,252912708,01/31/2020 07:15:32 PM,01/31/2020 07:15:46 PM,,,,,,Yes,Yes,4 hours or more
11314990057,252912708,01/31/2020 07:14:05 PM,01/31/2020 07:14:24 PM,,,,,,No,Yes,1 hour
11314987992,252912708,01/31/2020 07:11:26 PM,01/31/2020 07:11:49 PM,,,,,,Yes,Yes,2 hours
11314987839,252912708,01/31/2020 07:11:20 PM,01/31/2020 07:11:38 PM,,,,,,No,Yes,3 hours
11314987364,252912708,01/31/2020 07:10:32 PM,01/31/2020 07:10:58 PM,,,,,,No,Yes,3 hours
11314984200,252912708,01/31/2020 07:06:50 PM,01/31/2020 07:07:01 PM,,,,,,Yes,Yes,2 hours
11314983315,252912708,01/31/2020 07:05:47 PM,01/31/2020 07:05:58 PM,,,,,,No,Yes,4 hours or more
11314982427,252912708,01/31/2020 07:04:34 PM,01/31/2020 07:04:51 PM,,,,,,Yes,Yes,4 hours or more
11314982227,252912708,01/31/2020 07:04:22 PM,01/31/2020 07:04:37 PM,,,,,,No,Yes,1 hour
11314981944,252912708,01/31/2020 07:03:54 PM,01/31/2020 07:04:14 PM,,,,,,No,Yes,2 hours
11314981104,252912708,01/31/2020 07:02:42 PM,01/31/2020 07:03:12 PM,,,,,,No,Yes,4 hours or more
11314980443,252912708,01/31/2020 07:02:09 PM,01/31/2020 07:02:23 PM,,,,,,No,Yes,4 hours or more
11314980276,252912708,01/31/2020 07:01:59 PM,01/31/2020 07:02:11 PM,,,,,,Yes,Yes,3 hours
11314980064,252912708,01/31/2020 07:01:22 PM,01/31/2020 07:01:55 PM,,,,,,No,Yes,4 hours or more
11314979510,252912708,01/31/2020 07:00:59 PM,01/31/2020 07:01:12 PM,,,,,,Yes,Yes,3 hours
11314979088,252912708,01/31/2020 07:00:19 PM,01/31/2020 07:00:39 PM,,,,,,No,Yes,2 hours
11314978340,252912708,01/31/2020 06:59:20 PM,01/31/2020 06:59:43 PM,,,,,,No,Yes,1 hour
11314978213,252912708,01/31/2020 06:59:09 PM,01/31/2020 06:59:35 PM,,,,,,No,Yes,1 hour
11314977646,252912708,01/31/2020 06:58:39 PM,01/31/2020 06:58:53 PM,,,,,,No,Yes,2 hours
11314975611,252912708,01/31/2020 06:55:53 PM,01/31/2020 06:56:09 PM,,,,,,Yes,Yes,4 hours or more
11314975146,252912708,01/31/2020 06:55:11 PM,01/31/2020 06:55:31 PM,,,,,,No,Yes,4 hours or more
11314975012,252912708,01/31/2020 06:55:11 PM,01/31/2020 06:55:21 PM,,,,,,No,Yes,4 hours or more
11314970785,252912708,01/31/2020 06:49:44 PM,01/31/2020 06:50:03 PM,,,,,,Yes,Yes,4 hours or more
11314970533,252912708,01/31/2020 06:49:29 PM,01/31/2020 06:49:44 PM,,,,,,No,Yes,3 hours
11314967624,252912708,01/31/2020 06:46:01 PM,01/31/2020 06:46:15 PM,,,,,,No,Yes,2 hours
11314967337,252912708,01/31/2020 06:45:34 PM,01/31/2020 06:45:53 PM,,,,,,No,Yes,2 hours
11314963949,252912708,01/31/2020 06:40:07 PM,01/31/2020 06:41:40 PM,,,,,,No,Yes,4 hours or more
11314963503,252912708,01/31/2020 06:40:30 PM,01/31/2020 06:41:05 PM,,,,,,No,Yes,2 hours
11314960415,252912708,01/31/2020 06:37:00 PM,01/31/2020 06:37:11 PM,,,,,,No,Yes,3 hours
11314956824,252912708,01/31/2020 06:32:27 PM,01/31/2020 06:32:41 PM,,,,,,No,Yes,2 hours
11314952482,252912708,01/31/2020 06:27:11 PM,01/31/2020 06:27:24 PM,,,,,,No,Yes,4 hours or more
11314951732,252912708,01/31/2020 06:26:16 PM,01/31/2020 06:26:31 PM,,,,,,No,Yes,4 hours or more
11314948018,252912708,01/31/2020 06:21:32 PM,01/31/2020 06:21:59 PM,,,,,,No,Yes,2 hours
11314947290,252912708,01/31/2020 06:20:53 PM,01/31/2020 06:21:06 PM,,,,,,No,Yes,2 hours
11314945943,252912708,01/31/2020 06:19:18 PM,01/31/2020 06:19:28 PM,,,,,,Yes,Yes,2 hours
11314944918,252912708,01/31/2020 06:18:03 PM,01/31/2020 06:18:12 PM,,,,,,No,Yes,4 hours or more
11314942432,252912708,01/31/2020 06:15:03 PM,01/31/2020 06:15:17 PM,,,,,,No,Yes,3 hours
11314930275,252912708,01/31/2020 06:00:46 PM,01/31/2020 06:01:02 PM,,,,,,No,Yes,2 hours
11314930024,252912708,01/31/2020 06:00:33 PM,01/31/2020 06:00:44 PM,,,,,,No,Yes,3 hours
11314927818,252912708,01/31/2020 05:57:44 PM,01/31/2020 05:58:11 PM,,,,,,No,Yes,4 hours or more
11314913711,252912708,01/31/2020 05:42:16 PM,01/31/2020 05:42:30 PM,,,,,,No,Yes,2 hours
11314912463,252912708,01/31/2020 05:40:56 PM,01/31/2020 05:41:06 PM,,,,,,No,Yes,4 hours or more
11314911560,252912708,01/31/2020 05:39:09 PM,01/31/2020 05:40:10 PM,,,,,,No,Yes,3 hours
11314910158,252912708,01/31/2020 05:38:20 PM,01/31/2020 05:38:33 PM,,,,,,No,Yes,30 minutes or less
11314910023,252912708,01/31/2020 05:38:03 PM,01/31/2020 05:38:24 PM,,,,,,Yes,Yes,3 hours
11314905252,252912708,01/31/2020 05:32:45 PM,01/31/2020 05:33:32 PM,,,,,,No,Yes,1 hour
11314904528,252912708,01/31/2020 05:32:32 PM,01/31/2020 05:32:49 PM,,,,,,Yes,Yes,3 hours
11314904109,252912708,01/31/2020 05:32:14 PM,01/31/2020 05:32:23 PM,,,,,,No,Yes,4 hours or more
11314899376,252912708,01/31/2020 05:27:13 PM,01/31/2020 05:27:24 PM,,,,,,No,Yes,2 hours
11314898612,252912708,01/31/2020 05:26:23 PM,01/31/2020 05:26:37 PM,,,,,,No,Yes,4 hours or more
11314897520,252912708,01/31/2020 05:25:08 PM,01/31/2020 05:25:28 PM,,,,,,Yes,Yes,3 hours
11314897461,252912708,01/31/2020 05:25:04 PM,01/31/2020 05:25:24 PM,,,,,,Yes,Yes,2 hours
11314897069,252912708,01/31/2020 05:24:48 PM,01/31/2020 05:25:00 PM,,,,,,No,Yes,4 hours or more
11314896590,252912708,01/31/2020 05:24:04 PM,01/31/2020 05:24:29 PM,,,,,,No,Yes,4 hours or more
11314896363,252912708,01/31/2020 05:24:01 PM,01/31/2020 05:24:15 PM,,,,,,No,Yes,4 hours or more
11314895523,252912708,01/31/2020 05:22:57 PM,01/31/2020 05:23:24 PM,,,,,,No,Yes,3 hours
11314895348,252912708,01/31/2020 05:23:04 PM,01/31/2020 05:23:13 PM,,,,,,No,Yes,4 hours or more
11314895238,252912708,01/31/2020 05:22:47 PM,01/31/2020 05:23:07 PM,,,,,,No,Yes,4 hours or more
11314894840,252912708,01/31/2020 05:22:29 PM,01/31/2020 05:22:42 PM,,,,,,No,Yes,2 hours
11314894723,252912708,01/31/2020 05:21:32 PM,01/31/2020 05:22:35 PM,,,,,,No,Yes,2 hours
11314892604,252912708,01/31/2020 05:20:17 PM,01/31/2020 05:20:32 PM,,,,,,Yes,Yes,4 hours or more
11314803441,252912708,01/31/2020 03:53:48 PM,01/31/2020 03:54:20 PM,,,,,,Yes,Yes,3 hours
11314797635,252912708,01/31/2020 03:48:31 PM,01/31/2020 03:48:48 PM,,,,,,No,Yes,4 hours or more
11314769025,252912708,01/31/2020 03:23:14 PM,01/31/2020 03:23:34 PM,,,,,,No,Yes,3 hours
11314701391,252912708,01/31/2020 02:28:24 PM,01/31/2020 02:28:39 PM,,,,,,No,Yes,1 hour
11314664527,252912708,01/31/2020 02:00:35 PM,01/31/2020 02:01:06 PM,,,,,,Yes,Yes,3 hours
11314593375,252912708,01/31/2020 01:12:26 PM,01/31/2020 01:12:40 PM,,,,,,No,Yes,2 hours
11314477063,252912708,01/31/2020 12:08:20 PM,01/31/2020 12:08:38 PM,,,,,,Yes,Yes,3 hours
11314456704,252912708,01/31/2020 11:58:25 AM,01/31/2020 11:58:35 AM,,,,,,No,Yes,3 hours
11314452969,252912708,01/31/2020 11:56:28 AM,01/31/2020 11:56:42 AM,,,,,,No,Yes,2 hours
11314417169,252912708,01/31/2020 11:38:37 AM,01/31/2020 11:38:56 AM,,,,,,Yes,Yes,4 hours or more
11314394729,252912708,01/31/2020 11:28:20 AM,01/31/2020 11:28:33 AM,,,,,,Yes,Yes,3 hours
11314195371,252912708,01/31/2020 10:03:41 AM,01/31/2020 10:03:51 AM,,,,,,No,Yes,1 hour
11314171937,252912708,01/31/2020 09:52:56 AM,01/31/2020 09:53:51 AM,,,,,,Yes,Yes,4 hours or more
11314149493,252912708,01/31/2020 09:44:11 AM,01/31/2020 09:44:30 AM,,,,,,No,Yes,4 hours or more
11314113438,252912708,01/31/2020 09:29:22 AM,01/31/2020 09:29:32 AM,,,,,,Yes,Yes,3 hours
11314113133,252912708,01/31/2020 09:29:07 AM,01/31/2020 09:29:25 AM,,,,,,No,Yes,1 hour
11314102811,252912708,01/31/2020 09:24:57 AM,01/31/2020 09:25:17 AM,,,,,,Yes,Yes,4 hours or more
11314097587,252912708,01/31/2020 09:22:55 AM,01/31/2020 09:23:17 AM,,,,,,Yes,Yes,3 hours
11314037677,252912708,01/31/2020 08:59:42 AM,01/31/2020 08:59:58 AM,,,,,,Yes,Yes,4 hours or more
11314036512,252912708,01/31/2020 08:57:45 AM,01/31/2020 08:59:30 AM,,,,,,No,Yes,4 hours or more
11314034741,252912708,01/31/2020 08:58:20 AM,01/31/2020 08:58:48 AM,,,,,,No,Yes,1 hour
11314022385,252912708,01/31/2020 08:53:36 AM,01/31/2020 08:53:52 AM,,,,,,No,Yes,4 hours or more
11314013177,252912708,01/31/2020 08:49:54 AM,01/31/2020 08:50:16 AM,,,,,,No,Yes,3 hours
11313985680,252912708,01/31/2020 08:39:21 AM,01/31/2020 08:39:37 AM,,,,,,No,Yes,4 hours or more
11313971759,252912708,01/31/2020 08:34:01 AM,01/31/2020 08:34:19 AM,,,,,,No,Yes,1 hour
11313954795,252912708,01/31/2020 08:27:38 AM,01/31/2020 08:27:53 AM,,,,,,No,Yes,1 hour
11313947856,252912708,01/31/2020 08:24:36 AM,01/31/2020 08:25:13 AM,,,,,,Yes,Yes,3 hours
11313946397,252912708,01/31/2020 08:24:21 AM,01/31/2020 08:24:39 AM,,,,,,No,Yes,1 hour
11313945879,252912708,01/31/2020 08:24:14 AM,01/31/2020 08:24:27 AM,,,,,,Yes,Yes,3 hours
11313943640,252912708,01/31/2020 08:23:08 AM,01/31/2020 08:23:33 AM,,,,,,Yes,Yes,2 hours
11313936651,252912708,01/31/2020 08:20:31 AM,01/31/2020 08:20:45 AM,,,,,,Yes,Yes,4 hours or more
11313935003,252912708,01/31/2020 08:19:55 AM,01/31/2020 08:20:05 AM,,,,,,No,Yes,4 hours or more
11313924803,252912708,01/31/2020 08:15:39 AM,01/31/2020 08:16:03 AM,,,,,,No,Yes,4 hours or more
11313920056,252912708,01/31/2020 08:13:42 AM,01/31/2020 08:14:13 AM,,,,,,Yes,Yes,2 hours
11313919443,252912708,01/31/2020 08:13:41 AM,01/31/2020 08:13:59 AM,,,,,,No,Yes,1 hour
11313912143,252912708,01/31/2020 08:11:02 AM,01/31/2020 08:11:11 AM,,,,,,No,Yes,3 hours
11313907284,252912708,01/31/2020 08:09:00 AM,01/31/2020 08:09:18 AM,,,,,,Yes,Yes,4 hours or more
11313906946,252912708,01/31/2020 08:08:53 AM,01/31/2020 08:09:10 AM,,,,,,Yes,Yes,2 hours
11313901952,252912708,01/31/2020 08:06:58 AM,01/31/2020 08:07:19 AM,,,,,,Yes,Yes,1 hour
11313898435,252912708,01/31/2020 08:05:45 AM,01/31/2020 08:05:58 AM,,,,,,Yes,Yes,4 hours or more
11313897901,252912708,01/31/2020 08:05:29 AM,01/31/2020 08:05:46 AM,,,,,,No,Yes,3 hours
11313897837,252912708,01/31/2020 08:05:12 AM,01/31/2020 08:05:44 AM,,,,,,No,Yes,2 hours
11313897178,252912708,01/31/2020 08:05:15 AM,01/31/2020 08:05:29 AM,,,,,,No,Yes,1 hour
11313897087,252912708,01/31/2020 08:05:15 AM,01/31/2020 08:05:27 AM,,,,,,No,Yes,3 hours
11313896533,252912708,01/31/2020 08:04:55 AM,01/31/2020 08:05:14 AM,,,,,,No,Yes,1 hour
11313896153,252912708,01/31/2020 08:04:54 AM,01/31/2020 08:05:06 AM,,,,,,No,Yes,3 hours
11313885876,252912708,01/31/2020 08:00:58 AM,01/31/2020 08:01:14 AM,,,,,,No,Yes,4 hours or more
11313859344,252912708,01/31/2020 07:50:44 AM,01/31/2020 07:51:19 AM,,,,,,No,Yes,3 hours
11313851493,252912708,01/31/2020 07:48:06 AM,01/31/2020 07:48:28 AM,,,,,,No,Yes,4 hours or more
11313833906,252912708,01/31/2020 07:41:37 AM,01/31/2020 07:41:54 AM,,,,,,Yes,Yes,2 hours
11313817083,252912708,01/31/2020 07:35:29 AM,01/31/2020 07:35:45 AM,,,,,,No,Yes,3 hours
11313799493,252912708,01/31/2020 07:26:51 AM,01/31/2020 07:29:15 AM,,,,,,No,Yes,2 hours
11313797943,252912708,01/31/2020 07:28:26 AM,01/31/2020 07:28:40 AM,,,,,,No,Yes,4 hours or more
11313792502,252912708,01/31/2020 07:26:22 AM,01/31/2020 07:26:39 AM,,,,,,No,Yes,1 hour
11313780150,252912708,01/31/2020 07:20:56 AM,01/31/2020 07:22:11 AM,,,,,,No,Yes,1 hour
11313779361,252912708,01/31/2020 07:21:37 AM,01/31/2020 07:21:54 AM,,,,,,No,Yes,1 hour
11313779008,252912708,01/31/2020 07:21:22 AM,01/31/2020 07:21:47 AM,,,,,,No,Yes,1 hour
11313778977,252912708,01/31/2020 07:21:30 AM,01/31/2020 07:21:46 AM,,,,,,No,Yes,3 hours
11313776434,252912708,01/31/2020 07:20:10 AM,01/31/2020 07:20:53 AM,,,,,,No,Yes,1 hour
11313775891,252912708,01/31/2020 07:20:23 AM,01/31/2020 07:20:42 AM,,,,,,No,Yes,3 hours
